['a1', 'c1', 'X', 'BNT', None, 'Nikdo']
['a1', 'c3', 'c1', 'CNT', None, 'Nikdo']
['a1', 'c3', 'a2', 'CNT', None, 'Nikdo']
['a1', 'c3', 'b2', 'CNT', None, 'Nikdo']
['a1', 'c3', 'c2', 'CNT', None, 'Nikdo']
['a1', 'c3', 'a3', 'CNT', None, 'Nikdo']
['a1', 'c3', 'b3', 'CNT', None, 'Nikdo']
['b1', 'a3', 'a1', 'CNT', None, 'Nikdo']
['b1', 'a3', 'c1', 'CNT', None, 'Nikdo']
['b1', 'a3', 'a2', 'CNT', None, 'Nikdo']
['b1', 'a3', 'b2', 'CNT', None, 'Nikdo']
['b1', 'a3', 'c2', 'CNT', None, 'Nikdo']
['b1', 'a3', 'b3', 'CNT', None, 'Cerny']
['b1', 'a3', 'c3', 'CNT', None, 'Cerny']
['b1', 'b3', 'a1', 'CNT', None, 'Nikdo']
['b1', 'b3', 'c1', 'CNT', None, 'Nikdo']
['b1', 'b3', 'a2', 'CNT', None, 'Nikdo']
['b1', 'b3', 'b2', 'CNT', None, 'Nikdo']
['b1', 'b3', 'c2', 'CNT', None, 'Nikdo']
['b1', 'b3', 'a3', 'CNT', None, 'Cerny']
['b1', 'b3', 'c3', 'CNT', None, 'Cerny']
['b1', 'c3', 'a1', 'CNT', None, 'Nikdo']
['b1', 'c3', 'c1', 'CNT', None, 'Nikdo']
['b1', 'c3', 'a2', 'CNT', None, 'Nikdo']
['b1', 'c3', 'b2', 'CNT', None, 'Nikdo']
['b1', 'c3', 'c2', 'CNT', None, 'Nikdo']
['b1', 'c3', 'a3', 'CNT', None, 'Nikdo']
['b1', 'c3', 'b3', 'CNT', None, 'Nikdo']
['c1', 'a1', 'X', 'CNT', None, 'Nikdo']
['c1', 'a1', 'b1', 'CNT', None, 'Cerny']
['c1', 'a1', 'a2', 'CNT', None, 'Cerny']
['c1', 'a1', 'b2', 'CNT', None, 'Nikdo']
['c1', 'a1', 'c2', 'CNT', None, 'Nikdo']
['c1', 'a1', 'a3', 'CNT', None, 'Cerny']
['c1', 'a1', 'b3', 'CNT', None, 'Nikdo']
['c1', 'a1', 'c3', 'CNT', None, 'Nikdo']
['c1', 'a2', 'a1', 'CNT', None, 'Cerny']
['c1', 'a2', 'b1', 'CNT', None, 'Nikdo']
['c1', 'a2', 'b2', 'CNT', None, 'Cerny']
['c1', 'a2', 'c2', 'CNT', None, 'Cerny']
['c1', 'a2', 'a3', 'CNT', None, 'Cerny']
['c1', 'a2', 'b3', 'CNT', None, 'Nikdo']
['c1', 'a2', 'c3', 'CNT', None, 'Nikdo']
['c1', 'a3', 'a1', 'CNT', None, 'Nikdo']
['c1', 'a3', 'b1', 'CNT', None, 'Nikdo']
['c1', 'a3', 'a2', 'CNT', None, 'Nikdo']
['c1', 'a3', 'b2', 'CNT', None, 'Nikdo']
['c1', 'a3', 'c2', 'CNT', None, 'Nikdo']
['c1', 'a3', 'b3', 'CNT', None, 'Cerny']
['c1', 'a3', 'c3', 'CNT', None, 'Cerny']
['c1', 'b3', 'a1', 'CNT', None, 'Nikdo']
['c1', 'b3', 'b1', 'CNT', None, 'Nikdo']
['c1', 'b3', 'a2', 'CNT', None, 'Nikdo']
['c1', 'b3', 'b2', 'CNT', None, 'Nikdo']
['c1', 'b3', 'c2', 'CNT', None, 'Nikdo']
['c1', 'b3', 'a3', 'CNT', None, 'Cerny']
['c1', 'b3', 'c3', 'CNT', None, 'Cerny']
['c1', 'c3', 'a1', 'CNT', None, 'Nikdo']
['c1', 'c3', 'b1', 'CNT', None, 'Nikdo']
['c1', 'c3', 'a2', 'CNT', None, 'Nikdo']
['c1', 'c3', 'b2', 'CNT', None, 'Nikdo']
['c1', 'c3', 'c2', 'CNT', None, 'Nikdo']
['c1', 'c3', 'a3', 'CNT', None, 'Nikdo']
['c1', 'c3', 'b3', 'CNT', None, 'Nikdo']
['a2', 'c1', 'a1', 'CNT', None, 'Nikdo']
['a2', 'c1', 'b1', 'CNT', None, 'Nikdo']
['a2', 'c1', 'b2', 'CNT', None, 'Nikdo']
['a2', 'c1', 'c2', 'CNT', None, 'Cerny']
['a2', 'c1', 'a3', 'CNT', None, 'Nikdo']
['a2', 'c1', 'b3', 'CNT', None, 'Nikdo']
['a2', 'c1', 'c3', 'CNT', None, 'Cerny']
['a2', 'c1', 'a1', 'CNT', None, 'Nikdo']
['a2', 'c1', 'b1', 'CNT', None, 'Nikdo']
['a2', 'c1', 'b2', 'CNT', None, 'Nikdo']
['a2', 'c1', 'c2', 'CNT', None, 'Cerny']
['a2', 'c1', 'a3', 'CNT', None, 'Nikdo']
['a2', 'c1', 'b3', 'CNT', None, 'Nikdo']
['a2', 'c1', 'c3', 'CNT', None, 'Cerny']
['a2', 'c2', 'a1', 'CNT', None, 'Nikdo']
['a2', 'c2', 'b1', 'CNT', None, 'Nikdo']
['a2', 'c2', 'c1', 'CNT', None, 'Cerny']
['a2', 'c2', 'b2', 'CNT', None, 'Nikdo']
['a2', 'c2', 'a3', 'CNT', None, 'Nikdo']
['a2', 'c2', 'b3', 'CNT', None, 'Nikdo']
['a2', 'c2', 'c3', 'CNT', None, 'Cerny']
['a2', 'c3', 'a1', 'CNT', None, 'Nikdo']
['a2', 'c3', 'b1', 'CNT', None, 'Nikdo']
['a2', 'c3', 'c1', 'CNT', None, 'Nikdo']
['a2', 'c3', 'b2', 'CNT', None, 'Nikdo']
['a2', 'c3', 'c2', 'CNT', None, 'Nikdo']
['a2', 'c3', 'a3', 'CNT', None, 'Nikdo']
['a2', 'c3', 'b3', 'CNT', None, 'Nikdo']
['c2', 'a1', 'X', 'CNT', None, 'Nikdo']
['c2', 'a1', 'b1', 'CNT', None, 'Cerny']
['c2', 'a1', 'c1', 'CNT', None, 'Cerny']
['c2', 'a1', 'a2', 'CNT', None, 'Cerny']
['c2', 'a1', 'b2', 'CNT', None, 'Nikdo']
['c2', 'a1', 'a3', 'CNT', None, 'Cerny']
['c2', 'a1', 'b3', 'CNT', None, 'Nikdo']
['c2', 'a1', 'c3', 'CNT', None, 'Nikdo']
['c2', 'a2', 'a1', 'CNT', None, 'Cerny']
['c2', 'a2', 'b1', 'CNT', None, 'Nikdo']
['c2', 'a2', 'c1', 'CNT', None, 'Nikdo']
['c2', 'a2', 'b2', 'CNT', None, 'Cerny']
['c2', 'a2', 'a3', 'CNT', None, 'Cerny']
['c2', 'a2', 'b3', 'CNT', None, 'Nikdo']
['c2', 'a2', 'c3', 'CNT', None, 'Nikdo']
['c2', 'a3', 'a1', 'CNT', None, 'Nikdo']
['c2', 'a3', 'b1', 'CNT', None, 'Nikdo']
['c2', 'a3', 'c1', 'CNT', None, 'Nikdo']
['c2', 'a3', 'a2', 'CNT', None, 'Nikdo']
